id,count
0,106.0
1,164.0
2,104.0
4,49.0
5,93.0
10,115.0
11,5.0
12,300.0
15,15.0
17,165.0
18,252.0
23,248.0
25,113.0
26,36.0
31,213.0
39,229.0
40,29.0
41,213.0
42,380.0
43,133.0
51,300.0
52,117.0
54,18.0
60,138.0
61,155.0
62,119.0
63,46.0
65,127.0
66,129.0
68,229.0
71,30.0
80,30.0
82,137.0
94,92.0
98,278.0
101,49.0
102,229.0
107,5.0
112,304.0
113,12.0
115,137.0
116,127.0
120,236.0
121,59.0
122,324.0
132,244.0
143,12.0
147,137.0
150,23.0
151,80.0
152,300.0
153,94.0
155,222.0
156,93.0
159,284.0
161,51.0
163,20.0
177,150.0
186,2.0
188,16.0
190,106.0
191,19.0
192,316.0
195,252.0
200,137.0
209,324.0
210,15.0
211,188.0
214,5.0
215,21.0
218,95.0
219,52.0
222,37.0
225,18.0
228,317.0
236,284.0
241,37.0
242,158.0
243,332.0
245,13.0
247,290.0
251,229.0
252,103.0
253,80.0
254,74.0
258,375.0
260,137.0
261,159.0
265,137.0
266,252.0
267,324.0
269,133.0
270,137.0
275,92.0
278,52.0
279,80.0
286,117.0
287,30.0
288,315.0
289,137.0
293,16.0
294,158.0
297,137.0
302,107.0
303,12.0
304,93.0
307,109.0
309,15.0
311,180.0
312,143.0
314,188.0
315,332.0
319,163.0
322,119.0
323,137.0
325,108.0
327,252.0
330,52.0
332,284.0
333,16.0
338,95.0
341,107.0
345,213.0
348,339.0
349,50.0
350,129.0
352,137.0
355,28.0
356,272.0
358,137.0
363,121.0
369,226.0
371,23.0
372,229.0
375,252.0
380,122.0
388,45.0
391,161.0
392,310.0
393,425.0
394,267.0
396,34.0
401,49.0
407,137.0
409,80.0
410,129.0
416,42.0
418,115.0
420,167.0
421,218.0
422,161.0
424,310.0
428,398.0
429,126.0
431,5.0
435,9.0
439,129.0
441,15.0
447,80.0
449,181.0
451,133.0
452,17.0
454,296.0
458,126.0
463,141.0
467,15.0
470,316.0
471,133.0
474,252.0
478,17.0
483,132.0
484,108.0
485,69.0
486,114.0
491,90.0
494,74.0
495,252.0
497,213.0
499,291.0
515,92.0
518,221.0
521,37.0
525,168.0
529,263.0
532,121.0
534,137.0
540,137.0
544,310.0
547,133.0
549,45.0
563,39.0
564,126.0
567,138.0
572,113.0
577,181.0
578,332.0
585,380.0
588,133.0
589,104.0
590,119.0
592,18.0
594,316.0
596,18.0
598,380.0
599,138.0
605,49.0
606,138.0
607,252.0
608,197.0
609,137.0
610,324.0
611,241.0
614,133.0
615,315.0
616,213.0
617,92.0
618,278.0
624,132.0
629,189.0
631,107.0
633,117.0
637,27.0
638,92.0
643,137.0
644,137.0
645,39.0
646,182.0
648,250.0
650,49.0
651,267.0
652,252.0
656,137.0
657,18.0
659,26.0
660,127.0
662,92.0
665,425.0
675,317.0
681,131.0
682,127.0
685,17.0
686,284.0
689,27.0
696,97.0
703,140.0
704,89.0
705,5.0
714,274.0
717,117.0
718,18.0
720,103.0
721,164.0
723,315.0
726,267.0
728,181.0
730,267.0
731,34.0
734,375.0
737,30.0
738,16.0
745,109.0
746,29.0
749,228.0
752,27.0
753,267.0
758,315.0
765,14.0
766,176.0
768,93.0
769,248.0
774,120.0
775,121.0
781,137.0
784,324.0
794,17.0
795,271.0
796,69.0
802,213.0
803,267.0
805,39.0
806,271.0
807,90.0
809,17.0
810,151.0
812,267.0
814,132.0
818,290.0
819,126.0
825,137.0
836,104.0
839,92.0
847,290.0
848,241.0
851,181.0
852,138.0
853,49.0
857,133.0
858,39.0
859,252.0
861,8.0
867,95.0
870,247.0
871,213.0
872,348.0
874,431.0
881,284.0
886,107.0
890,137.0
895,167.0
899,75.0
900,271.0
901,278.0
902,127.0
903,49.0
913,205.0
918,163.0
923,5.0
924,44.0
926,34.0
927,16.0
930,214.0
934,44.0
937,138.0
939,109.0
941,103.0
942,431.0
946,271.0
950,92.0
953,94.0
959,165.0
961,27.0
962,103.0
964,134.0
969,233.0
971,112.0
976,15.0
978,315.0
980,271.0
981,120.0
990,431.0
993,17.0
996,17.0
998,331.0
999,152.0
1006,111.0
1008,15.0
1013,19.0
1015,90.0
1016,113.0
1022,280.0
1026,213.0
1028,291.0
1031,37.0
1034,137.0
1037,142.0
1040,137.0
1042,16.0
1046,17.0
1048,90.0
1049,109.0
1050,137.0
1051,102.0
1052,213.0
1055,222.0
1060,92.0
1064,27.0
1066,15.0
1071,92.0
1073,14.0
1089,226.0
1091,104.0
1092,98.0
1093,241.0
1096,324.0
1097,216.0
1098,16.0
1099,39.0
1102,126.0
1107,117.0
1109,15.0
1111,46.0
1112,111.0
1114,271.0
1116,271.0
1117,113.0
1118,26.0
1122,125.0
1124,150.0
1127,137.0
1133,109.0
1134,44.0
1135,5.0
1139,271.0
1143,137.0
1150,132.0
1151,111.0
1153,271.0
1155,34.0
1162,30.0
1163,228.0
1166,14.0
1171,68.0
1172,15.0
1173,205.0
1174,85.0
1177,75.0
1178,213.0
1184,267.0
1185,94.0
1186,132.0
1187,123.0
1188,271.0
1191,107.0
1207,105.0
1213,45.0
1215,92.0
1223,291.0
1227,111.0
1236,137.0
1237,137.0
1238,16.0
1241,29.0
1248,16.0
1250,46.0
1251,92.0
1253,132.0
1255,92.0
1257,126.0
1261,132.0
1262,380.0
1265,120.0
1273,163.0
1277,278.0
1278,112.0
1280,107.0
1284,213.0
1285,280.0
1288,34.0
1295,111.0
1297,380.0
1299,239.0
1304,138.0
1308,40.0
1310,92.0
1311,221.0
1314,106.0
1315,119.0
1318,42.0
1320,324.0
1321,278.0
1322,278.0
1330,91.0
1333,163.0
1334,127.0
1341,120.0
1344,102.0
1351,109.0
1354,74.0
1356,137.0
1363,111.0
1365,213.0
1369,221.0
1373,107.0
1375,94.0
1377,80.0
1379,107.0
1380,278.0
1381,74.0
1384,151.0
1390,309.0
1393,315.0
1395,137.0
1399,286.0
1400,116.0
1401,215.0
1404,221.0
1408,2.0
1409,5.0
1413,213.0
1416,278.0
1418,92.0
1423,117.0
1424,34.0
1425,17.0
1433,219.0
1434,153.0
1436,402.0
1442,278.0
1444,75.0
1445,138.0
1452,226.0
1455,150.0
1462,137.0
1467,37.0
1472,20.0
1475,267.0
1493,83.0
1501,228.0
1503,324.0
1504,164.0
1505,18.0
1511,284.0
1512,137.0
1513,93.0
1514,34.0
1528,188.0
1533,309.0
1534,35.0
1536,134.0
1537,117.0
1539,316.0
1550,213.0
1552,214.0
1554,213.0
1555,425.0
1556,74.0
1559,5.0
1563,109.0
1566,181.0
1567,213.0
1568,46.0
1571,221.0
1572,21.0
1574,137.0
1577,18.0
1583,88.0
1585,35.0
1586,213.0
1587,151.0
1596,151.0
1602,5.0
1604,17.0
1605,33.0
1610,278.0
1611,95.0
1616,46.0
1617,92.0
1618,18.0
1622,20.0
1623,20.0
1628,278.0
1631,15.0
1632,284.0
1633,244.0
1634,335.0
1636,109.0
1637,95.0
1643,37.0
1644,92.0
1646,103.0
1648,216.0
1651,20.0
1656,24.0
1658,173.0
1659,24.0
1665,267.0
1666,173.0
1670,31.0
1674,109.0
1679,188.0
1680,291.0
1683,342.0
1686,31.0
1691,92.0
1693,20.0
1696,46.0
1697,89.0
1703,109.0
1706,31.0
1709,120.0
1710,86.0
1712,309.0
1713,173.0
1718,300.0
1719,152.0
1722,278.0
1723,173.0
1724,278.0
1728,17.0
1730,34.0
1732,19.0
1737,22.0
1745,100.0
1747,18.0
1748,2.0
1755,93.0
1759,18.0
1761,278.0
1764,315.0
1765,151.0
1766,100.0
1768,68.0
1770,35.0
1771,134.0
1774,87.0
1785,132.0
1788,229.0
1792,18.0
1794,205.0
1797,129.0
1798,28.0
1799,300.0
1802,92.0
1806,70.0
1808,103.0
1810,222.0
1818,111.0
1819,431.0
1820,278.0
1822,205.0
1826,127.0
1827,127.0
1835,22.0
1841,108.0
1842,42.0
1843,22.0
1846,51.0
1849,226.0
1850,102.0
1851,267.0
1857,137.0
1858,175.0
1860,87.0
1861,214.0
1864,135.0
1869,331.0
1871,137.0
1872,3.0
1875,8.0
1878,309.0
1879,205.0
1885,86.0
1888,22.0
1889,46.0
1890,92.0
1896,109.0
1897,258.0
1898,151.0
1900,69.0
1905,5.0
1908,135.0
1909,90.0
1913,137.0
1918,79.0
1922,317.0
1923,151.0
1925,278.0
1926,339.0
1927,278.0
1930,213.0
1935,17.0
1939,75.0
1942,90.0
1943,73.0
1948,304.0
1949,278.0
1951,119.0
1953,108.0
1959,92.0
1963,27.0
1967,124.0
1973,278.0
1975,27.0
1976,30.0
1990,108.0
1993,75.0
1997,189.0
1999,151.0
2001,402.0
2004,100.0
2010,95.0
2013,91.0
2017,280.0
2021,113.0
2023,189.0
2026,153.0
2037,7.0
2039,267.0
2041,15.0
2046,28.0
2050,14.0
2060,109.0
2067,92.0
2069,173.0
2072,278.0
2074,116.0
2079,93.0
2083,24.0
2085,267.0
2087,15.0
2093,135.0
2094,32.0
2097,5.0
2103,95.0
2104,137.0
2107,115.0
2108,5.0
2110,111.0
2115,109.0
2117,34.0
2125,324.0
2127,214.0
2133,17.0
2134,431.0
2135,148.0
2141,213.0
2143,43.0
2145,80.0
2146,35.0
2147,305.0
2148,137.0
2149,137.0
2165,132.0
2166,213.0
2177,267.0
