"범죄별","발생지역별","시점","범죄발생지역",
"범죄발생총건수(A)","계","2014 년","1933835",
"범죄발생총건수(A)","계","2015 년","2020731",
"범죄발생총건수(A)","계","2016 년","2008290",
"범죄발생총건수(A)","계","2017 년","1824876",
"범죄발생총건수(A)","계","2018 년","1738190",
"범죄발생총건수(A)","계","2019 년","1767684",
"범죄발생총건수(A)","계","2020 년","1714579",
"범죄발생총건수(A)","서울","2014 년","389353",
"범죄발생총건수(A)","서울","2015 년","386488",
"범죄발생총건수(A)","서울","2016 년","372730",
"범죄발생총건수(A)","서울","2017 년","352471",
"범죄발생총건수(A)","서울","2018 년","341288",
"범죄발생총건수(A)","서울","2019 년","340504",
"범죄발생총건수(A)","서울","2020 년","318320",
"범죄발생총건수(A)","부산","2014 년","147945",
"범죄발생총건수(A)","부산","2015 년","156472",
"범죄발생총건수(A)","부산","2016 년","144038",
"범죄발생총건수(A)","부산","2017 년","130148",
"범죄발생총건수(A)","부산","2018 년","126230",
"범죄발생총건수(A)","부산","2019 년","128725",
"범죄발생총건수(A)","부산","2020 년","127673",
"범죄발생총건수(A)","대구","2014 년","103469",
"범죄발생총건수(A)","대구","2015 년","107728",
"범죄발생총건수(A)","대구","2016 년","93713",
"범죄발생총건수(A)","대구","2017 년","82281",
"범죄발생총건수(A)","대구","2018 년","79489",
"범죄발생총건수(A)","대구","2019 년","82905",
"범죄발생총건수(A)","대구","2020 년","79182",
"범죄발생총건수(A)","인천","2014 년","103861",
"범죄발생총건수(A)","인천","2015 년","110230",
"범죄발생총건수(A)","인천","2016 년","109580",
"범죄발생총건수(A)","인천","2017 년","101526",
"범죄발생총건수(A)","인천","2018 년","94605",
"범죄발생총건수(A)","인천","2019 년","101289",
"범죄발생총건수(A)","인천","2020 년","96340",
"범죄발생총건수(A)","광주","2014 년","71182",
"범죄발생총건수(A)","광주","2015 년","67136",
"범죄발생총건수(A)","광주","2016 년","60352",
"범죄발생총건수(A)","광주","2017 년","54627",
"범죄발생총건수(A)","광주","2018 년","51223",
"범죄발생총건수(A)","광주","2019 년","52827",
"범죄발생총건수(A)","광주","2020 년","49869",
"범죄발생총건수(A)","대전","2014 년","50232",
"범죄발생총건수(A)","대전","2015 년","52193",
"범죄발생총건수(A)","대전","2016 년","51696",
"범죄발생총건수(A)","대전","2017 년","50357",
"범죄발생총건수(A)","대전","2018 년","48184",
"범죄발생총건수(A)","대전","2019 년","47929",
"범죄발생총건수(A)","대전","2020 년","46960",
"범죄발생총건수(A)","울산","2014 년","45490",
"범죄발생총건수(A)","울산","2015 년","34213",
"범죄발생총건수(A)","울산","2016 년","29620",
"범죄발생총건수(A)","울산","2017 년","26558",
"범죄발생총건수(A)","울산","2018 년","25323",
"범죄발생총건수(A)","울산","2019 년","25814",
"범죄발생총건수(A)","울산","2020 년","24911",
"범죄발생총건수(A)","세종","2014 년","3717",
"범죄발생총건수(A)","세종","2015 년","3897",
"범죄발생총건수(A)","세종","2016 년","4762",
"범죄발생총건수(A)","세종","2017 년","5023",
"범죄발생총건수(A)","세종","2018 년","5331",
"범죄발생총건수(A)","세종","2019 년","6300",
"범죄발생총건수(A)","세종","2020 년","6651",
"범죄발생총건수(A)","경기","2014 년","442902",
"범죄발생총건수(A)","경기","2015 년","472930",
"범죄발생총건수(A)","경기","2016 년","523078",
"범죄발생총건수(A)","경기","2017 년","459893",
"범죄발생총건수(A)","경기","2018 년","429953",
"범죄발생총건수(A)","경기","2019 년","433498",
"범죄발생총건수(A)","경기","2020 년","429487",
